SrcBytes,SIntPktMax,Proto_arp,Proto_icmp,Proto_ipv6-icmp,Proto_tcp,Proto_udp,State_CLO,State_CON,State_ECO,State_FIN,State_INT,State_NRS,State_REQ,State_RST,State_TST,State_URH,State_URHPRO
1.2390381,-0.75153846,-0.11005839,1.1100583,0.05220261,0.11005839,-0.11005839,-0.06961539,-0.11005839,1.1100583,-0.11005839,0.11005839,0.0011518383,0.11005839,0.11005839,-0.015279258,0.095054515,-0.10936996
0.5525973,-0.7264166,-0.10092464,0.10092464,0.08783535,1.0759157,-0.063199714,-0.04751172,-0.10092464,0.10092464,-0.10092464,0.10092464,0.07591565,0.10092464,1.1009246,0.10055543,0.06861691,-0.10092464
-0.65828323,0.94739825,0.06324904,0.06324904,0.055306442,0.93675095,0.06324904,0.04757601,-0.06324904,-0.04757601,0.06324904,0.06324904,0.06324904,-0.06324904,0.93675095,0.06324904,-0.06324904,0.06324904
0.5511757,-0.75153846,-0.10234621,0.10234621,0.08840136,1.0769849,0.06336162,-0.050768077,-0.07698496,0.10234621,-0.10234621,0.10234621,-0.036634125,0.10234621,1.1023462,-0.037239447,0.07698496,-0.07698496
-0.618655,0.1394526,0.032663267,0.032663267,0.028398566,0.9673367,0.032663267,0.032663267,-0.032663267,-0.028398566,0.032663267,0.032663267,0.028398566,-0.032663267,0.9673367,-0.032663267,-0.032663267,0.032663267
-0.748623,-0.7151783,0.0028810592,0.0028810592,0.0028810592,0.99711895,0.0028810592,0.0028810592,0.99711895,-0.0028810592,0.0028810592,0.0028810592,0.0025180257,-0.0028810592,-0.0028810592,-0.0017993402,-0.0021671366,0.0021671366
-0.75153846,4.740101,0.108260825,-0.10819653,0.108260825,0.8917392,0.108260825,0.094711,0.8917392,-0.108260825,0.108260825,0.108260825,-0.004167879,0.108260825,0.023212839,-0.108260825,-0.08143394,0.108260825
0.5517343,-0.73654735,-0.10178762,0.10178762,0.10178762,1.0638254,-0.10178762,0.009154858,-0.07656478,0.10178762,-0.10178762,0.10178762,0.050545827,0.10178762,1.1017876,0.047034856,0.0153719485,-0.10178762
-0.75153846,2.2935474,0.083369955,0.083369955,0.011928856,0.91663,0.083369955,0.083369955,-0.083369955,-0.083369955,0.083369955,0.083369955,0.083369955,-0.083369955,0.91663,0.083369955,-0.062710986,0.083369955
0.7136677,-0.71259624,-0.31430525,0.31430525,0.31430525,0.31430525,0.68569475,-0.23488523,0.68569475,0.31430525,-0.31430525,0.31430525,0.24447124,0.31430525,0.31430525,-0.27391866,0.2363323,-0.31430525
-0.060031887,0.45777294,0.13203283,-0.09689018,-0.098445386,0.8679672,0.13203283,0.11528711,0.95166206,-0.13203283,0.13203283,-0.13203283,-0.13203283,-0.13203283,-0.08256954,0.1305588,0.11403164,0.1314215
-0.5846003,-0.07809046,-0.060515214,-0.060515214,-0.060515214,1.0605152,-0.060515214,-0.0605016,0.060515214,0.060515214,1.0451788,-0.060515214,-0.060515214,0.060515214,0.060515214,0.038047355,-0.045506004,0.060515214
-0.42471802,-0.65295136,0.047663186,-0.047663186,-0.047663186,1.0476631,0.047663186,0.04118331,-0.04757235,0.047663186,0.047663186,0.002551353,0.047663186,0.047663186,1.0476631,-0.047663186,0.035688,0.047663186
